Time(s),Ax(g),Ay(g),Az(g),Gx(°/s),Gy(°/s),Gz(°/s)
0.007497,0.043,-0.122,0.967,-6.462,1.122,-1.228
0.011863,0.025,-0.128,0.951,-6.21,1.144,-1.106
0.016205,0.028,-0.126,0.96,-5.989,0.992,-1.091
0.020339,0.036,-0.116,0.961,-5.936,1.419,-1.038
0.023286,0.022,-0.113,0.955,-6.271,1.038,-0.931
0.024265,0.031,-0.126,0.971,-6.332,1.427,-0.702
0.025245,0.012,-0.115,0.962,-6.401,1.251,-0.267
0.026193,0.027,-0.105,0.956,-6.622,1.35,-0.259
0.027136,0.028,-0.098,0.96,-6.561,1.167,-0.099
0.028080,0.012,-0.093,0.959,-6.561,1.312,-0.198
0.029021,0.037,-0.092,0.957,-6.76,1.251,-0.145
0.029982,0.025,-0.088,0.95,-6.699,1.175,-0.031
0.030925,0.03,-0.079,0.964,-6.615,1.328,-0.465
0.031870,0.031,-0.077,0.961,-6.889,0.992,-0.809
0.032806,0.032,-0.082,0.962,-7.019,1.167,-1.129
0.033760,0.032,-0.091,0.965,-6.874,1.289,-0.839
0.034700,0.031,-0.083,0.964,-7.469,1.312,-1.114
0.035664,0.042,-0.08,0.962,-7.278,1.083,-1.122
0.036605,0.042,-0.085,0.964,-7.645,1.274,-0.977
0.037558,0.04,-0.083,0.96,-7.553,1.526,-0.671
0.038498,0.038,-0.075,0.961,-7.866,1.457,-0.908
0.039439,0.041,-0.072,0.961,-8.24,1.236,-1.03
0.040377,0.041,-0.072,0.961,-8.148,1.152,-1.114
0.041334,0.04,-0.076,0.965,-8.308,1.328,-1.297
0.042273,0.04,-0.079,0.968,-8.72,1.602,-1.411
0.043212,0.04,-0.082,0.964,-8.43,1.236,-1.549
0.044149,0.033,-0.087,0.962,-8.423,1.297,-1.709
0.045102,0.032,-0.094,0.959,-8.392,1.48,-1.808
0.046042,0.029,-0.11,0.955,-8.728,1.518,-1.488
0.046981,0.03,-0.114,0.957,-8.614,1.472,-1.282
0.047919,0.029,-0.126,0.957,-8.881,1.534,-1.06
0.048856,0.026,-0.132,0.966,-9.041,1.671,-0.725
0.049811,0.021,-0.142,0.958,-8.911,1.35,-0.504
0.050752,0.027,-0.143,0.961,-8.835,1.556,-0.511
0.051693,0.02,-0.146,0.956,-8.4,1.343,-0.534
0.052632,0.026,-0.157,0.966,-8.316,1.244,-0.763
0.053589,0.021,-0.153,0.957,-8.08,1.274,-0.923
0.054528,0.023,-0.155,0.951,-8.156,1.289,-1.03
0.055464,0.029,-0.151,0.957,-8.003,1.396,-1.213
0.056401,0.03,-0.154,0.957,-7.477,1.282,-1.312
0.057352,0.03,-0.159,0.959,-7.607,1.282,-0.908
0.058298,0.034,-0.162,0.96,-7.645,1.076,-1.16
0.059242,0.035,-0.157,0.96,-7.256,1.183,-1.472
0.060184,0.037,-0.151,0.964,-7.164,1.198,-0.969
0.061137,0.038,-0.151,0.962,-7.248,1.16,-0.854
0.062074,0.041,-0.148,0.963,-7.355,1.282,-0.61
0.063011,0.043,-0.131,0.958,-6.851,0.854,-0.931
0.063948,0.048,-0.13,0.948,-7.179,1.221,-0.961
0.064890,0.052,-0.13,0.963,-6.973,1.335,-0.443
0.065840,0.049,-0.133,0.966,-7.202,1.19,-0.275
0.066777,0.05,-0.125,0.963,-6.813,1.183,-0.832
0.067716,0.054,-0.117,0.965,-7.256,1.076,-0.641
0.068654,0.052,-0.113,0.965,-7.042,1.114,-0.801
0.069606,0.05,-0.119,0.965,-6.691,1.328,-0.328
0.070543,0.05,-0.123,0.958,-6.935,1.198,-0.481
0.071478,0.049,-0.12,0.955,-7.286,1.19,-0.343
0.072417,0.042,-0.117,0.962,-7.103,1.114,-0.16
0.073368,0.041,-0.116,0.961,-7.286,1.114,-0.244
0.074308,0.042,-0.112,0.963,-7.21,1.152,-0.298
0.075247,0.034,-0.126,0.96,-7.21,1.045,-0.076
0.076188,0.035,-0.124,0.963,-6.752,1.266,-0.099
0.077152,0.034,-0.111,0.958,-7.004,1.518,-0.099
0.078098,0.03,-0.113,0.965,-6.966,0.961,-0.305
0.079042,0.023,-0.111,0.961,-7.164,1.396,-1.06
0.079985,0.016,-0.114,0.949,-6.95,1.19,-0.87
0.080927,0.023,-0.116,0.956,-6.973,1.144,-0.893
0.081880,0.021,-0.125,0.961,-7.339,1.343,-0.839
0.082818,0.02,-0.124,0.959,-7.141,1.106,-0.801
0.083779,0.019,-0.123,0.95,-6.935,1.389,-0.801
0.084728,0.019,-0.122,0.968,-7.172,1.244,-0.557
0.106351,0.021,-0.108,0.959,-7.477,1.266,-0.61
0.107316,0.022,-0.115,0.954,-7.5,1.175,-0.679
0.108260,0.022,-0.115,0.964,-7.08,1.251,-0.664
0.109800,0.032,-0.101,0.96,-7.149,1.183,-1.137
0.110746,0.035,-0.099,0.958,-7.362,1.167,-1.106
0.148693,0.041,-0.095,0.957,-7.362,1.305,-0.931
0.149694,0.046,-0.093,0.96,-7.431,1.389,-1.366
0.150642,0.045,-0.091,0.956,-7.881,1.389,-1.274
0.151582,0.044,-0.098,0.962,-7.866,1.122,-0.931
0.152515,0.043,-0.104,0.965,-7.782,1.274,-0.877
0.153462,0.045,-0.103,0.958,-7.729,1.457,-0.885
0.154412,0.04,-0.104,0.957,-7.759,1.442,-1.625
0.192276,0.039,-0.109,0.968,-8.133,1.404,-1.289
0.193283,0.039,-0.108,0.962,-8.133,1.427,-1.274
0.194233,0.039,-0.111,0.956,-7.904,1.167,-0.931
0.195173,0.043,-0.111,0.961,-7.912,1.305,-0.946
0.196115,0.034,-0.115,0.964,-7.973,1.32,-1.19
0.197059,0.027,-0.126,0.964,-8.049,1.427,-1.068
0.198011,0.028,-0.131,0.967,-7.797,1.442,-0.923
0.236094,0.024,-0.131,0.96,-7.942,1.152,-0.786
0.237127,0.028,-0.129,0.958,-7.744,1.465,-0.572
0.238077,0.028,-0.135,0.952,-7.896,1.503,-0.71
0.239021,0.027,-0.141,0.957,-7.904,1.396,-0.725
0.239953,0.024,-0.139,0.959,-7.637,1.282,-0.656
0.240894,0.001,-0.134,0.956,-7.729,1.053,-0.366
0.241854,0.032,-0.129,0.958,-7.568,1.221,-0.374
